重問番号,問題名,分野,推定リード章,根拠(マッチしたリードα問題・スコア),確信度
131,金属円筒中を落下するネオジム磁石,電磁気,20章・25章・26章,"斜面を落下するおもりの終端速度を求める｜リードα 第26章 基本問題449【高校物理】(章26, score=0.067); 磁場中を動く金属棒の誘導起電力を求める｜リードα 第26章 基本問題446【高校物理】(章26, score=0.049); マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.048); 直交する2本の電流がつくる磁場と力を求める｜リードα 第25章 基本問題435【高校物理】(章25, score=0.048)",低(要確認)
136,回転する導体棒に生じる誘導起電力,電磁気,26章,"磁場を通過するコイルの誘導起電力を求める｜リードα 第26章 応用問題454【高校物理】(章26, score=0.115); コイルの磁束変化から誘導起電力を求める｜リードα 第26章 基本問題444【高校物理】(章26, score=0.098); 相互インダクタンスで生じる起電力を描く｜リードα 第26章 基本問題453【高校物理】(章26, score=0.096); 電流グラフからコイルの誘導起電力を描く｜リードα 第26章 基本問題451【高校物理】(章26, score=0.096); 磁場中を動く金属棒の誘導起電力を求める｜リードα 第26章 基本問題446【高校物理】(章26, score=0.096)",低(要確認)
137,相互誘導,電磁気,20章・22章・26章,"スイッチ切替で2つのコンデンサー間の電荷再分配を求める｜リードα 第22章 基本例題74【高校物理】(章22, score=0.071); コイルの磁束変化から誘導起電力を求める｜リードα 第26章 基本問題444【高校物理】(章26, score=0.061); 電流グラフからコイルの誘導起電力を描く｜リードα 第26章 基本問題451【高校物理】(章26, score=0.06); マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.059); 磁場を通過するコイルの誘導起電力を求める｜リードα 第26章 応用問題454【高校物理】(章26, score=0.059)",低(要確認)
138,コイルを含む直流回路,電磁気,20章・24章,"マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.115); 電球を含む回路で非直線抵抗の電流を求める｜リードα 第24章 基本問題419【高校物理】(章24, score=0.094); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.086)",低(要確認)
139,ベータトロン,電磁気,25章,"サイクロトロンで加速される粒子の軌道半径を求める｜リードα 第25章 応用問題440【高校物理】(章25, score=0.085)",低(要確認)
140,磁場中を運動する導体棒,電磁気,25章・26章,"磁場中を動く導体棒の電位差を求める｜リードα 第26章 基本例題88【高校物理】(章26, score=0.1); 磁場中で回転するL字形導体棒の角速度を求める｜リードα 第26章 応用問題458【高校物理】(章26, score=0.089); 磁場内を円運動する電子の半径と周期を求める｜リードα 第25章 基本問題436【高校物理】(章25, score=0.071)",低(要確認)
142,交流の送電,電磁気,20章,"マイケルソン干渉計で光強度の変化を調べる｜リードα 第20章 応用問題354【高校物理】(章20, score=0.054)",低(要確認)
146,過渡現象と電気振動,電磁気,22章・24章・26章,"スイッチ開閉前後の消費電力と電流を比較する｜リードα 第24章 応用問題424【高校物理】(章24, score=0.068); スイッチ切替を3段階行う回路で電気量の変化を求める｜リードα 第22章 応用問題390【高校物理】(章22, score=0.062); スイッチ開閉時のコンデンサー回路の過渡電流を求める｜リードα 第24章 基本問題420【高校物理】(章24, score=0.062); スイッチ開閉時の抵抗値と電流の向きをキルヒホッフで求める｜リードα 第24章 応用問題423【高校物理】(章24, score=0.06); LR回路のスイッチ開閉時の電流を求める｜リードα 第26章 応用問題457【高校物理】(章26, score=0.051)",低(要確認)
147,質量分析器,原子,27章,"周波数を2倍にしたときの電流変化を求める｜リードα 第27章 基本問題464【高校物理】(章27, score=0.015); LC振動とばね振動の対応を空所補充で整理する｜リードα 第27章 応用問題474【高校物理】(章27, score=0.014); RC直列回路の静電容量を実測電流から求める｜リードα 第27章 基本問題467【高校物理】(章27, score=0.014); 回転するコイルの空所補充で誘導起電力を求める｜リードα 第27章 基本問題461【高校物理】(章27, score=0.014)",低(要確認)
148,電子の比電荷の測定,原子,27章,"LC振動とばね振動の対応を空所補充で整理する｜リードα 第27章 応用問題474【高校物理】(章27, score=0.015); 回転するコイルの空所補充で誘導起電力を求める｜リードα 第27章 基本問題461【高校物理】(章27, score=0.015)",低(要確認)
149,ミリカンの実験,原子,27章,"LC回路の電圧グラフから電気容量と最大電流を求める｜リードα 第27章 基本問題469【高校物理】(章27, score=0.044)",低(要確認)
150,光電効果,原子,27章,"周波数を2倍にしたときの電流変化を求める｜リードα 第27章 基本問題464【高校物理】(章27, score=0.032)",低(要確認)
151,X線の発生とX線回折,原子,(該当なし),(候補なし),低(要確認)
152,コンプトン効果,原子,27章,"変圧器の一次二次の電圧と電流を求める｜リードα 第27章 基本問題463【高校物理】(章27, score=0.018); 電気振動回路の振動電流と電磁波の波長を求める｜リードα 第27章 基本例題93【高校物理】(章27, score=0.017); 抵抗・コイル・コンデンサーの消費電力を求める｜リードα 第27章 基本問題465【高校物理】(章27, score=0.017); 回転するコイルの空所補充で誘導起電力を求める｜リードα 第27章 基本問題461【高校物理】(章27, score=0.016)",低(要確認)
153,ブラッグ反射と金属からの光の発生,原子,27章,"RC直列回路の静電容量を実測電流から求める｜リードα 第27章 基本問題467【高校物理】(章27, score=0.016); コイルの電圧電流グラフからリアクタンスを求める｜リードα 第27章 基本例題91【高校物理】(章27, score=0.016); LC回路の電圧グラフから電気容量と最大電流を求める｜リードα 第27章 基本問題469【高校物理】(章27, score=0.015)",低(要確認)
154,水素原子モデル,原子,27章,"RC直列回路の静電容量を実測電流から求める｜リードα 第27章 基本問題467【高校物理】(章27, score=0.016); コイルの電圧電流グラフからリアクタンスを求める｜リードα 第27章 基本例題91【高校物理】(章27, score=0.016); LC回路の電圧グラフから電気容量と最大電流を求める｜リードα 第27章 基本問題469【高校物理】(章27, score=0.015)",低(要確認)
155,原子核,原子,(該当なし),(候補なし),低(要確認)
156,核反応で生じるエネルギー,原子,27章,"ダイオード回路の整流前後の電位変化を求める｜リードα 第27章 基本問題462【高校物理】(章27, score=0.086); LC回路のスイッチ切替後の振動電流を求める｜リードα 第27章 応用問題473【高校物理】(章27, score=0.067); コイルの電圧電流グラフからリアクタンスを求める｜リードα 第27章 基本例題91【高校物理】(章27, score=0.066); LC回路の電圧グラフから電気容量と最大電流を求める｜リードα 第27章 基本問題469【高校物理】(章27, score=0.062)",低(要確認)
157,中性子による核反応,原子,27章,"周波数を2倍にしたときの電流変化を求める｜リードα 第27章 基本問題464【高校物理】(章27, score=0.016); LC振動とばね振動の対応を空所補充で整理する｜リードα 第27章 応用問題474【高校物理】(章27, score=0.016); LC回路のスイッチ切替後の振動電流を求める｜リードα 第27章 応用問題473【高校物理】(章27, score=0.016); RLC並列回路で電流が最小になる周波数を求める｜リードα 第27章 応用問題472【高校物理】(章27, score=0.016); RLC直列回路の実効値電流と共振周波数を求める｜リードα 第27章 応用問題471【高校物理】(章27, score=0.016)",低(要確認)
158,中性子の発見,原子,(該当なし),(候補なし),低(要確認)
159,ハンマー投げの力学モデル,考察,8章・19章・20章・26章・27章,"磁場中で回転するL字形導体棒の角速度を求める｜リードα 第26章 応用問題458【高校物理】(章26, score=0.063); 一定周期で回転する物体の向心力を求める｜リードα 第8章 基本問題152【高校物理】(章8, score=0.05); 回転するコイルの空所補充で誘導起電力を求める｜リードα 第27章 基本問題461【高校物理】(章27, score=0.047); 凸レンズの下半分を覆うと像はどう変わるか考察する｜リードα 第19章 基本例題63【高校物理】(章19, score=0.046); 回折格子の干渉縞から波長とスペクトルを考察する｜リードα 第20章 基本問題347【高校物理】(章20, score=0.046)",低(要確認)
160,波の屈折と虹のしくみ,考察,16章・20章,"回折格子の干渉縞から波長とスペクトルを考察する｜リードα 第20章 基本問題347【高校物理】(章20, score=0.081); 平面波の屈折角と節線の間隔を導出する｜リードα 第16章 応用問題293【高校物理】(章16, score=0.069); 境界面に届く波の数から屈折の法則を導く｜リードα 第16章 基本問題290【高校物理】(章16, score=0.068)",低(要確認)
163,陽電子断層撮影法のしくみ,考察,20章,"回折格子の干渉縞から波長とスペクトルを考察する｜リードα 第20章 基本問題347【高校物理】(章20, score=0.074)",低(要確認)
2,速度の合成,力学,1章,"川を渡る船の上りと下りの速さを求める｜リードα 第1章 基本問題4【高校物理】(章1, score=0.128); 船の速度を合成して渡る時間と向きを求める｜リードα 第1章 基本例題2【高校物理】(章1, score=0.122); 川を斜めに渡る船の速度をベクトルで分解する｜リードα 第1章 応用問題18【高校物理】(章1, score=0.118); 流れに直角に進む船の速度を合成する｜リードα 第1章 基本問題5【高校物理】(章1, score=0.106)",中
4,水平投射,力学,2章・6章,"振り子から水平投射する小球の飛距離を求める｜リードα 第6章 基本問題120【高校物理】(章6, score=0.217); 崖から水平投射した小石の落下時間を求める｜リードα 第2章 基本問題32【高校物理】(章2, score=0.174); 水平投射した小球が45°斜面に落ちる点を求める｜リードα 第2章 応用問題40【高校物理】(章2, score=0.163)",中
5,斜方投射と自由落下,力学,2章,"斜方投射が斜面に垂直衝突する条件を求める｜リードα 第2章 応用問題44【高校物理】(章2, score=0.273); 壁に向けた斜方投射が衝突するまでの条件を求める｜リードα 第2章 応用問題42【高校物理】(章2, score=0.255); 自由落下する的に弾丸が命中する条件を求める｜リードα 第2章 応用問題43【高校物理】(章2, score=0.217); 投げ上げたAと落下するBが空中衝突する条件を求める｜リードα 第2章 応用問題38【高校物理】(章2, score=0.2)",中
7,斜面をのぼる小球の運動,力学,6章,"曲面をのぼる小球の最高点の高さを求める｜リードα 第6章 基本問題117【高校物理】(章6, score=0.137)",中
9,フックの法則とつりあい,力学,9章,"2本のばねにつながれた物体の周期を求める｜リードα 第9章 基本問題181【高校物理】(章9, score=0.17)",中
11,斜面をもつ台にはたらく力のつりあい,力学,3章・4章・5章,"速さの変化から物体にはたらく力を求める｜リードα 第4章 基本問題65【高校物理】(章4, score=0.143); 7通りの状況で物体にはたらく力を図示する｜リードα 第3章 基本問題47【高校物理】(章3, score=0.14); 剛体にはたらく複数の力の合力を作図で求める｜リードα 第5章 基本問題98【高校物理】(章5, score=0.115); 原点にはたらく5つの力の合力を求める｜リードα 第3章 基本問題46【高校物理】(章3, score=0.1)",中
14,壁に立てかけた棒のつりあい,力学,5章,"壁に立てかけた棒が倒れない角度を求める｜リードα 第5章 基本例題20【高校物理】(章5, score=0.156); 斜めに立てかけた棒の垂直抗力と摩擦力を求める｜リードα 第5章 基本問題97【高校物理】(章5, score=0.146)",中
15,半円形の剛体のつりあい,力学,3章・4章・5章,"剛体にはたらく複数の力の合力を作図で求める｜リードα 第5章 基本問題98【高校物理】(章5, score=0.146); 速さの変化から物体にはたらく力を求める｜リードα 第4章 基本問題65【高校物理】(章4, score=0.128); 7通りの状況で物体にはたらく力を図示する｜リードα 第3章 基本問題47【高校物理】(章3, score=0.125); 原点にはたらく5つの力の合力を求める｜リードα 第3章 基本問題46【高校物理】(章3, score=0.106)",中
16,斜面に置かれた直方体のつりあい,力学,5章,"斜面上の直方体が傾く条件をtanθで求める｜リードα 第5章 応用問題106【高校物理】(章5, score=0.155)",中
24,動く斜面上の糸でつるした小球,力学,9章,"ゴムひもでつるした小球の運動を空所補充で表す｜リードα 第9章 応用問題190【高校物理】(章9, score=0.167)",中
25,斜面上の物体の運動,力学,3章・4章・7章・8章,"地球上と月面上での物体の重さを求める｜リードα 第4章 基本問題66【高校物理】(章4, score=0.136); 30°斜面上の物体の加速度と糸の張力を求める｜リードα 第4章 基本問題73【高校物理】(章4, score=0.125); 斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.109); 45°斜面上の物体を引く糸の張力を求める｜リードα 第3章 基本問題53【高校物理】(章3, score=0.106); 斜面上で静止する小物体の加速度を求める｜リードα 第8章 基本問題161【高校物理】(章8, score=0.106)",中
29,あらい水平面上の物体の運動,力学,4章・6章・9章,"滑車でつながれた2物体の加速度と張力を求める｜リードα 第4章 基本例題16【高校物理】(章4, score=0.167); ばねでつながれた2物体の重心の速さを求める｜リードα 第9章 応用問題192【高校物理】(章9, score=0.125); 滑車でつながれた2小球の衝突直前の速さを求める｜リードα 第6章 基本例題27【高校物理】(章6, score=0.123)",中
30,斜面台上の小物体の運動,力学,7章,"斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.149)",中
31,弾性力と摩擦力による運動,力学,4章,"ばねで押し出される2物体が離れる位置を求める｜リードα 第4章 応用問題92【高校物理】(章4, score=0.148)",中
32,ゴムひもに取りつけられた物体の運動,力学,4章・8章・9章,"2本のばねにつながれた物体の周期を求める｜リードα 第9章 基本問題181【高校物理】(章9, score=0.16); 糸につけた物体の等速円運動の張力を求める｜リードα 第8章 基本例題33【高校物理】(章8, score=0.118); 滑車でつながれた2物体の加速度と張力を求める｜リードα 第4章 基本例題16【高校物理】(章4, score=0.113); ばねでつながれた2物体の重心の速さを求める｜リードα 第9章 応用問題192【高校物理】(章9, score=0.113)",中
34,液体の抵抗を受ける物体,力学,4章・6章,"空気抵抗を受けて落下する終端速度を求める｜リードα 第4章 基本問題87【高校物理】(章4, score=0.13); 逆向きの2力を受ける物体の加速度を求める｜リードα 第4章 基本問題67【高校物理】(章4, score=0.109); 自由落下する物体のエネルギー変化グラフを選ぶ｜リードα 第6章 基本問題116【高校物理】(章6, score=0.103)",中
35,ばねにつながれた物体の運動と運動エネルギー,力学,9章,"2本のばねにつながれた物体の周期を求める｜リードα 第9章 基本問題181【高校物理】(章9, score=0.208)",中
36,木材に打ちこまれた弾丸,力学,7章,"弾丸が木材にくいこむ時間とエネルギーを求める｜リードα 第7章 応用問題147【高校物理】(章7, score=0.143)",中
38,水平面上での2物体の衝突,力学,6章・7章,"自由落下する物体のエネルギー変化グラフを選ぶ｜リードα 第6章 基本問題116【高校物理】(章6, score=0.192); 平面上で衝突する2小球の速度を求める｜リードα 第7章 基本問題139【高校物理】(章7, score=0.16); 弾性衝突と非弾性衝突のエネルギーを比較する｜リードα 第7章 基本問題143【高校物理】(章7, score=0.137); 平面上で衝突する小球の速度と角度を求める｜リードα 第7章 基本例題31【高校物理】(章7, score=0.135)",中
40,小球と斜面とのくり返し衝突,力学,7章,"くり返し衝突する小球のはね上がる高さを求める｜リードα 第7章 応用問題150【高校物理】(章7, score=0.154)",中
42,上昇する板へのくり返し衝突,力学,7章,"くり返し衝突する小球のはね上がる高さを求める｜リードα 第7章 応用問題150【高校物理】(章7, score=0.196)",中
44,棒でつながれた2物体の運動,力学,4章・9章,"滑車でつながれた2物体の加速度と張力を求める｜リードα 第4章 基本例題16【高校物理】(章4, score=0.2); ばねでつながれた2物体の重心の速さを求める｜リードα 第9章 応用問題192【高校物理】(章9, score=0.2)",中
45,摩擦のある回転台上の物体,力学,4章,"物体がすべり出す条件から摩擦係数を求める｜リードα 第4章 基本問題78【高校物理】(章4, score=0.208); 重ねた2物体がすべり出す力の条件を求める｜リードα 第4章 応用問題88【高校物理】(章4, score=0.16)",中
47,円筒表面をすべり落ちる小物体の運動,力学,4章・6章・8章,"45°斜面をすべり下りる物体の加速度を求める｜リードα 第4章 基本問題72【高校物理】(章4, score=0.12); 30°斜面をすべり上がる物体の加速度を求める｜リードα 第4章 基本例題14【高校物理】(章4, score=0.12); 円錐側面をすべる物体の向心力を求める｜リードα 第8章 基本問題164【高校物理】(章8, score=0.104); 円錐内面をすべる物体の速さと周期を表す｜リードα 第8章 基本問題156【高校物理】(章8, score=0.102); 円弧と斜面を往復する小物体の速さを求める｜リードα 第6章 応用問題126【高校物理】(章6, score=0.1)",中
48,鉛直面内の円運動,力学,2章・7章・8章,"円錐振り子が等速円運動する周期を求める｜リードα 第8章 基本例題35【高校物理】(章8, score=0.152); 自由落下する的に弾丸が命中する条件を求める｜リードα 第2章 応用問題43【高校物理】(章2, score=0.149); 斜方投射が斜面に垂直衝突する条件を求める｜リードα 第2章 応用問題44【高校物理】(章2, score=0.149); 投げ上げたAと落下するBが空中衝突する条件を求める｜リードα 第2章 応用問題38【高校物理】(章2, score=0.137); 斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.128)",中
49,振り子の運動,力学,4章・6章・8章,"振り子の張力と重力がした仕事を求める｜リードα 第6章 基本例題23【高校物理】(章6, score=0.13); 水平に引かれた振り子の糸の張力を求める｜リードα 第8章 基本問題165【高校物理】(章8, score=0.125); 水平面を回る円錐振り子の張力を求める｜リードα 第8章 基本問題163【高校物理】(章8, score=0.104); 物体を上下させる糸の張力と加速度を求める｜リードα 第4章 基本例題13【高校物理】(章4, score=0.102); 釘で半径が変わる振り子の張力の変化を求める｜リードα 第8章 応用問題171【高校物理】(章8, score=0.098)",中
51,ケプラーの法則,力学,10章,"ケプラーの法則で面積速度と周期を解く｜リードα 第10章 基本問題196【高校物理】(章10, score=0.137); 円軌道からだ円軌道に移る人工衛星の速さと周期を求める｜リードα 第10章 基本問題205【高校物理】(章10, score=0.123); 円軌道上の人工衛星の速さとエネルギーを文字式で表す｜リードα 第10章 基本問題203【高校物理】(章10, score=0.102)",中
54,水平ばね振り子,力学,9章,"摩擦面でのばね振り子の減衰振動を求める｜リードα 第9章 応用問題195【高校物理】(章9, score=0.159); 鉛直ばね振り子のばね定数と角振動数を求める｜リードα 第9章 基本例題38【高校物理】(章9, score=0.133)",中
55,2本のばねによる単振動,力学,9章,"2本のばねにつながれた物体の周期を求める｜リードα 第9章 基本問題181【高校物理】(章9, score=0.295)",中
56,あらい面上で振動する物体の運動,力学,9章,"摩擦面でのばね振り子の減衰振動を求める｜リードα 第9章 応用問題195【高校物理】(章9, score=0.196)",中
57,ばねにつながれた物体との衝突,力学,9章,"2本のばねにつながれた物体の周期を求める｜リードα 第9章 基本問題181【高校物理】(章9, score=0.192)",中
61,ばねに連結された2物体,力学,4章・9章,"ばねでつながれた2物体の重心の速さを求める｜リードα 第9章 応用問題192【高校物理】(章9, score=0.234); 滑車でつながれた2物体の加速度と張力を求める｜リードα 第4章 基本例題16【高校物理】(章4, score=0.184)",中
63,ベルト上での物体の単振動,力学,9章,"摩擦面でのばね振り子の減衰振動を求める｜リードα 第9章 応用問題195【高校物理】(章9, score=0.163); 鉛直ばね振り子のばね定数と角振動数を求める｜リードα 第9章 基本例題38【高校物理】(章9, score=0.14)",中
64,熱量の保存,熱,11章,"熱量計に入れた金属球の比熱を求める｜リードα 第11章 基本問題216【高校物理】(章11, score=0.2); 熱量と温度上昇から金属の比熱を求める｜リードα 第11章 基本問題212【高校物理】(章11, score=0.196)",中
66,比熱と熱機関,熱,11章・13章,"サイクルの各過程の仕事と熱効率を求める｜リードα 第13章 基本例題48【高校物理】(章13, score=0.13); 熱効率から熱機関の仕事と放出熱量を求める｜リードα 第11章 基本問題225【高校物理】(章11, score=0.125); V-T図のサイクルでの仕事と熱効率を求める｜リードα 第13章 応用問題263【高校物理】(章13, score=0.123); p-Vグラフの1サイクルで仕事と熱効率を求める｜リードα 第13章 基本問題258【高校物理】(章13, score=0.119); 熱効率からディーゼル機関の重油量を求める｜リードα 第11章 基本問題226【高校物理】(章11, score=0.105)",中
69,気体分子の運動,熱,13章,"単原子分子気体の内部エネルギーの倍率を求める｜リードα 第13章 基本問題249【高校物理】(章13, score=0.161); 球形容器内の分子運動から圧力の式を導く｜リードα 第13章 応用問題259【高校物理】(章13, score=0.148); 気体分子1個の平均運動エネルギーを求める｜リードα 第13章 基本問題245【高校物理】(章13, score=0.145); 立方体容器内の分子運動から圧力の式を導く｜リードα 第13章 基本問題247【高校物理】(章13, score=0.145)",中
71,ばね付きピストンで封じられた気体,熱,12章・13章,"ばね付きピストンの気体を加熱した仕事を求める｜リードα 第13章 応用問題264【高校物理】(章13, score=0.125); 注射器のピストンを押した気体の圧力を求める｜リードα 第12章 基本問題232【高校物理】(章12, score=0.092); おもりをのせたピストン内気体の高さを求める｜リードα 第12章 基本問題238【高校物理】(章12, score=0.092)",中
73,気体の状態変化と熱効率,熱,13章,"サイクルの各過程の仕事と熱効率を求める｜リードα 第13章 基本例題48【高校物理】(章13, score=0.17); V-T図のサイクルでの仕事と熱効率を求める｜リードα 第13章 応用問題263【高校物理】(章13, score=0.121)",中
75,ピストンで封じられた気体,熱,12章,"注射器のピストンを押した気体の圧力を求める｜リードα 第12章 基本問題232【高校物理】(章12, score=0.127); 仕切られた容器内気体の圧力のつりあいを解く｜リードα 第12章 応用問題243【高校物理】(章12, score=0.127); ピストン内の気体を加熱した体積増加を求める｜リードα 第12章 基本例題43【高校物理】(章12, score=0.094)",中
76,気体の状態変化と熱効率,熱,11章・13章,"サイクルの各過程の仕事と熱効率を求める｜リードα 第13章 基本例題48【高校物理】(章13, score=0.121); 熱効率から熱機関の仕事と放出熱量を求める｜リードα 第11章 基本問題225【高校物理】(章11, score=0.117); V-T図のサイクルでの仕事と熱効率を求める｜リードα 第13章 応用問題263【高校物理】(章13, score=0.115); 4通りの状態変化の内部エネルギーと仕事を求める｜リードα 第13章 基本問題255【高校物理】(章13, score=0.111); p-Vグラフの1サイクルで仕事と熱効率を求める｜リードα 第13章 基本問題258【高校物理】(章13, score=0.111)",中
77,半透膜で仕切られた2種類の気体,熱,12章・13章,"断熱材で仕切られた2室間の気体の移動距離を求める｜リードα 第13章 応用問題265【高校物理】(章13, score=0.158); 仕切られた容器内気体の圧力のつりあいを解く｜リードα 第12章 応用問題243【高校物理】(章12, score=0.125)",中
83,音波の干渉,波動,15章・16章・17章,"閉管の定在波の節の位置から波長を求める｜リードα 第17章 基本問題305【高校物理】(章17, score=0.157); クインケ管の経路差から振動数と音速を求める｜リードα 第17章 応用問題311【高校物理】(章17, score=0.151); 開管の共鳴で定在波の節の間隔から波長を求める｜リードα 第17章 基本問題306【高校物理】(章17, score=0.148); 屈折率から屈折波の速さと波長を求める｜リードα 第16章 基本例題56【高校物理】(章16, score=0.143); 正弦波の式から振幅・周期・波長を求める｜リードα 第15章 基本問題281【高校物理】(章15, score=0.135)",中
90,プリズムによる光の進路,波動,19章,"プリズム内での光の屈折・全反射経路と角度を求める｜リードα 第19章 基本問題331【高校物理】(章19, score=0.169)",中
91,組合せレンズ,波動,19章,"凸レンズと凹レンズを組み合わせた系の像を求める｜リードα 第19章 応用問題344【高校物理】(章19, score=0.179)",中
94,回折格子,波動,16章・17章,"水面波干渉で定在波の腹の位置を求める｜リードα 第16章 基本問題288【高校物理】(章16, score=0.137); 2音源の位相関係から極小点の位置を求める｜リードα 第17章 応用問題310【高校物理】(章17, score=0.135); 閉管の定在波の節の位置から波長を求める｜リードα 第17章 基本問題305【高校物理】(章17, score=0.113); 密度変化グラフから開管の反射位置を求める｜リードα 第17章 基本問題309【高校物理】(章17, score=0.111)",中
98,マイケルソン干渉計,波動,19章,"容器内光源の見かけの深さから液体の屈折率を求める｜リードα 第19章 応用問題343【高校物理】(章19, score=0.131); プリズムの最小偏角から屈折率を求める｜リードα 第19章 応用問題341【高校物理】(章19, score=0.105)",中
102,静電気力がする仕事,電磁気,21章,"2点電荷による電場の向きと電位・仕事を求める｜リードα 第21章 基本問題367【高校物理】(章21, score=0.16); 2点電荷がつくる電場中で電荷を運ぶ仕事を求める｜リードα 第21章 基本問題368【高校物理】(章21, score=0.137); 電荷の異なる2球を接触させ静電気力の変化を求める｜リードα 第21章 基本問題357【高校物理】(章21, score=0.132); 等電位線図から電荷を運ぶ仕事を求める｜リードα 第21章 基本例題71【高校物理】(章21, score=0.128); 2点電荷による電場を合成し強さと向きを求める｜リードα 第21章 基本例題69【高校物理】(章21, score=0.118)",中
103,電場と電位,電磁気,21章,"ガウスの法則で平面電荷がつくる電場と電位を導く｜リードα 第21章 基本問題363【高校物理】(章21, score=0.235)",中
107,電気力線,電磁気,21章,"2点電荷がつくる電場中で電荷を運ぶ仕事を求める｜リードα 第21章 基本問題368【高校物理】(章21, score=0.135); 正負2点電荷がつくる電場が0になる位置を求める｜リードα 第21章 基本問題361【高校物理】(章21, score=0.132); 正三角形の頂点の2電荷がつくる電場を図示する｜リードα 第21章 基本問題362【高校物理】(章21, score=0.113); ガウスの法則で平面電荷がつくる電場と電位を導く｜リードα 第21章 基本問題363【高校物理】(章21, score=0.111)",中
108,コンデンサーの合成容量,電磁気,22章,"直列接続コンデンサーの合成容量と電気量を求める｜リードα 第22章 基本問題379【高校物理】(章22, score=0.264); ブリッジ状回路のコンデンサーの電気量と合成容量を求める｜リードα 第22章 応用問題389【高校物理】(章22, score=0.246); 直列3つのコンデンサーの電圧配分から容量を求める｜リードα 第22章 基本問題376【高校物理】(章22, score=0.214); 極板面積と間隔からコンデンサーの電気容量を求める｜リードα 第22章 基本問題375【高校物理】(章22, score=0.193); 電気力線の本数から電場とコンデンサーの容量を求める｜リードα 第22章 応用問題388【高校物理】(章22, score=0.19)",中
110,極板間の電場と電位,電磁気,21章・22章・24章,"平行板間の三角形の各頂点の電場と電位を求める｜リードα 第21章 基本問題364【高校物理】(章21, score=0.224); 極板面積と間隔からコンデンサーの電気容量を求める｜リードα 第22章 基本問題375【高校物理】(章22, score=0.216); 電気力線の本数から電場とコンデンサーの容量を求める｜リードα 第22章 応用問題388【高校物理】(章22, score=0.212); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.212); 誘電体を挿入したコンデンサーの電位分布グラフを求める｜リードα 第22章 応用問題394【高校物理】(章22, score=0.208)",中
111,コンデンサーの極板が受ける力,電磁気,22章,"極板面積と間隔からコンデンサーの電気容量を求める｜リードα 第22章 基本問題375【高校物理】(章22, score=0.169); 直列接続コンデンサーの合成容量と電気量を求める｜リードα 第22章 基本問題379【高校物理】(章22, score=0.153); 並列と直列接続時のコンデンサーの耐電圧を求める｜リードα 第22章 基本問題381【高校物理】(章22, score=0.153); 直列3つのコンデンサーの電圧配分から容量を求める｜リードα 第22章 基本問題376【高校物理】(章22, score=0.15); 電気力線の本数から電場とコンデンサーの容量を求める｜リードα 第22章 応用問題388【高校物理】(章22, score=0.148)",中
113,ダイオードを含むコンデンサー回路とつなぎかえ,電磁気,22章・24章,"抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.164); スイッチ開閉時のコンデンサー回路の過渡電流を求める｜リードα 第24章 基本問題420【高校物理】(章24, score=0.145); スイッチとコンデンサー回路で移動電荷の向きを求める｜リードα 第24章 応用問題425【高校物理】(章24, score=0.127); ブリッジ状回路のコンデンサーの電気量と合成容量を求める｜リードα 第22章 応用問題389【高校物理】(章22, score=0.123)",中
115,導体中の自由電子の運動,電磁気,23章・24章,"自由電子の運動モデルからオームの法則を導く｜リードα 第24章 基本問題408【高校物理】(章24, score=0.125); 自由電子の速さと電流の関係を式で求める｜リードα 第23章 応用問題403【高校物理】(章23, score=0.089)",中
116,キルヒホッフの法則,電磁気,24章,"キルヒホッフの法則で回路の電流を式で表す｜リードα 第24章 基本例題79【高校物理】(章24, score=0.283)",中
117,ホイートストンブリッジ,電磁気,24章,"ホイートストンブリッジの未知抵抗と電位差を求める｜リードα 第24章 基本例題81【高校物理】(章24, score=0.212); ホイートストンブリッジの未知抵抗と電流の向きを求める｜リードα 第24章 基本問題416【高校物理】(章24, score=0.2)",中
118,電池の内部抵抗,電磁気,24章,"内部抵抗を考慮した2通りの抵抗測定誤差を比較する｜リードα 第24章 応用問題426【高校物理】(章24, score=0.157)",中
119,コンデンサーを含む直流回路,電磁気,24章,"抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.222); スイッチ開閉時のコンデンサー回路の過渡電流を求める｜リードα 第24章 基本問題420【高校物理】(章24, score=0.158)",中
