num,分野,問題名,出典,難易度,趣旨,タイトル案,pdf_pages,thumb,ステータス,更新日時,intro
116,電磁気,キルヒホッフの法則,17 東京農大,A,キルヒホッフの法則を使って回路の電流を求める,キルヒホッフの法則を使って回路の電流を求める｜物理重要問題集 電磁気 問116【高校物理】,24,denjiki_問116.png,完成,2026-07-26 14:04,完成
117,電磁気,ホイートストンブリッジ,15 香川大,A,ホイートストンブリッジのつりあい条件を調べる,ホイートストンブリッジのつりあい条件を調べる｜物理重要問題集 電磁気 問117【高校物理】,25,denjiki_問117.png,完成,2026-07-26 14:04,完成
118,電磁気,電池の内部抵抗,宮城教育大 改,A,電池の内部抵抗を考慮した回路を調べる,電池の内部抵抗を考慮した回路を調べる｜物理重要問題集 電磁気 問118【高校物理】,26,denjiki_問118.png,完成,2026-07-26 14:04,完成
119,電磁気,コンデンサーを含む直流回路,22 熊本大 改,A,コンデンサーを含む直流回路の電荷と電流を調べる,コンデンサーを含む直流回路の電荷と電流を調べる｜物理重要問題集 電磁気 問119【高校物理】,27,denjiki_問119.png,完成,2026-07-26 14:04,完成
120,電磁気,電球とダイオードを含む直流回路,22 東京都立大,A,電球とダイオードを含む回路の特性を調べる,電球とダイオードを含む回路の特性を調べる｜物理重要問題集 電磁気 問120【高校物理】,28,denjiki_問120.png,完成,2026-07-26 14:04,完成
121,電磁気,発光ダイオードを含む直流回路,20 大阪工大,A,発光ダイオードを含む回路の電流と電圧を調べる,発光ダイオードを含む回路の電流と電圧を調べる｜物理重要問題集 電磁気 問121【高校物理】,29-30,denjiki_問121.png,完成,2026-07-26 14:04,完成
122,電磁気,コンデンサーを含む直流回路・最大消費電力,25 徳島大,A,コンデンサーを含む回路の消費電力を調べる,コンデンサーを含む回路の消費電力を調べる｜物理重要問題集 電磁気 問122【高校物理】,31,denjiki_問122.png,完成,2026-07-26 14:04,完成
123,電磁気,電圧と電流の関係,17 長崎大,A,素子の電圧と電流の関係を実験から調べる,素子の電圧と電流の関係を実験から調べる｜物理重要問題集 電磁気 問123【高校物理】,32,denjiki_問123.png,完成,2026-07-26 14:04,完成
124,電磁気,ハシゴ型に連結を増やしていく回路,24 横浜市大,B,ハシゴ状に素子を増やしていく回路の規則性を調べる,ハシゴ状に素子を増やしていく回路の規則性を調べる｜物理重要問題集 電磁気 問124【高校物理】,33-34,denjiki_問124.png,完成,2026-07-26 14:04,完成
125,電磁気,直線電流と円形電流がつくる磁場,23 日本女子大,A,直線電流と円形電流がつくる磁場を調べる,直線電流と円形電流がつくる磁場を調べる｜物理重要問題集 電磁気 問125【高校物理】,35,denjiki_問125.png,完成,2026-07-26 14:04,完成
126,電磁気,電流が磁場から受ける力,25 鳥取大,A,磁場中の電流が受ける力を調べる,磁場中の電流が受ける力を調べる｜物理重要問題集 電磁気 問126【高校物理】,36,denjiki_問126.png,完成,2026-07-26 14:04,完成
127,電磁気,一様な磁場内の荷電粒子の運動,23 群馬大 改,A,一様な磁場内での荷電粒子の運動を調べる,一様な磁場内での荷電粒子の運動を調べる｜物理重要問題集 電磁気 問127【高校物理】,37-38,denjiki_問127.png,完成,2026-07-26 14:04,完成
128,電磁気,半導体とホール効果,19 浜松医大,A,半導体に生じるホール効果を調べる,半導体に生じるホール効果を調べる｜物理重要問題集 電磁気 問128【高校物理】,39,denjiki_問128.png,完成,2026-07-26 14:04,完成
129,電磁気,サイクロトロン,24 徳島大,A,サイクロトロンによる荷電粒子の加速を調べる,サイクロトロンによる荷電粒子の加速を調べる｜物理重要問題集 電磁気 問129【高校物理】,40-41,denjiki_問129.png,完成,2026-07-26 14:04,完成
130,電磁気,電磁場中の荷電粒子の運動,東京大,B,電場と磁場が重なった空間での荷電粒子の運動を調べる,電場と磁場が重なった空間での荷電粒子の運動を調べる｜物理重要問題集 電磁気 問130【高校物理】,42-43,denjiki_問130.png,完成,2026-07-26 14:04,完成
131,電磁気,金属円筒中を落下するネオジム磁石,18 千葉工大,A,金属円筒中を落下する磁石にはたらく力を調べる,金属円筒中を落下する磁石にはたらく力を調べる｜物理重要問題集 電磁気 問131【高校物理】,44,denjiki_問131.png,完成,2026-07-26 14:04,完成
132,電磁気,磁場中を運動する導体棒,24 関西学院大,A,磁場中を運動する導体棒に生じる誘導起電力を調べる,磁場中を運動する導体棒に生じる誘導起電力を調べる｜物理重要問題集 電磁気 問132【高校物理】,45-46,denjiki_問132.png,完成,2026-07-26 14:04,完成
133,電磁気,傾斜したレール上をすべる導体棒,21 京都工繊大,A,傾斜レール上をすべる導体棒の誘導起電力を調べる,傾斜レール上をすべる導体棒の誘導起電力を調べる｜物理重要問題集 電磁気 問133【高校物理】,47-48,denjiki_問133.png,完成,2026-07-26 14:04,完成
134,電磁気,長方形コイルに生じる誘導起電力,21 高知大 改,A,長方形コイルを貫く磁束の変化から誘導起電力を調べる,長方形コイルを貫く磁束の変化から誘導起電力を調べる｜物理重要問題集 電磁気 問134【高校物理】,49,denjiki_問134.png,完成,2026-07-26 14:04,完成
135,電磁気,斜面上を動く正方形コイルに生じる誘導起電力,21 新潟大,A,斜面上を動くコイルに生じる誘導起電力を調べる,斜面上を動くコイルに生じる誘導起電力を調べる｜物理重要問題集 電磁気 問135【高校物理】,50-51,denjiki_問135.png,完成,2026-07-26 14:04,完成
136,電磁気,回転する導体棒に生じる誘導起電力,15 同志社大,A,回転する導体棒に生じる誘導起電力を調べる,回転する導体棒に生じる誘導起電力を調べる｜物理重要問題集 電磁気 問136【高校物理】,52-53,denjiki_問136.png,完成,2026-07-26 14:04,完成
137,電磁気,相互誘導,19 大阪府大 改,A,2つのコイル間の相互誘導を調べる,2つのコイル間の相互誘導を調べる｜物理重要問題集 電磁気 問137【高校物理】,54,denjiki_問137.png,完成,2026-07-26 14:04,完成
138,電磁気,コイルを含む直流回路,20 中央大,A,コイルを含む直流回路の電流の変化を調べる,コイルを含む直流回路の電流の変化を調べる｜物理重要問題集 電磁気 問138【高校物理】,55-56,denjiki_問138.png,完成,2026-07-26 14:04,完成
139,電磁気,ベータトロン,25 横浜市大 改,A,ベータトロンによる荷電粒子の加速原理を調べる,ベータトロンによる荷電粒子の加速原理を調べる｜物理重要問題集 電磁気 問139【高校物理】,57-58,denjiki_問139.png,完成,2026-07-26 14:04,完成
140,電磁気,磁場中を運動する導体棒,21 同志社大,B,磁場中を運動する導体棒に生じる現象を調べる,磁場中を運動する導体棒に生じる現象を調べる｜物理重要問題集 電磁気 問140【高校物理】,59-60,denjiki_問140.png,完成,2026-07-26 14:04,完成
141,電磁気,交流の発生,23 徳島大,A,磁場中で回転するコイルに生じる交流を調べる,磁場中で回転するコイルに生じる交流を調べる｜物理重要問題集 電磁気 問141【高校物理】,61-62,denjiki_問141.png,完成,2026-07-26 14:04,完成
142,電磁気,交流の送電,九州工大 改,A,変圧器を利用した交流の送電のしくみを調べる,変圧器を利用した交流の送電のしくみを調べる｜物理重要問題集 電磁気 問142【高校物理】,63-64,denjiki_問142.png,完成,2026-07-26 14:04,完成
143,電磁気,RLC直列回路,25 東京農工大 改,A,抵抗・コイル・コンデンサーを直列につないだ回路を調べる,抵抗・コイル・コンデンサーを直列につないだ回路を調べる｜物理重要問題集 電磁気 問143【高校物理】,65-66,denjiki_問143.png,完成,2026-07-26 14:04,完成
144,電磁気,RLC並列回路,20 福井大 改,A,抵抗・コイル・コンデンサーを並列につないだ回路を調べる,抵抗・コイル・コンデンサーを並列につないだ回路を調べる｜物理重要問題集 電磁気 問144【高校物理】,67,denjiki_問144.png,完成,2026-07-26 14:04,完成
145,電磁気,電気振動,18 東京農工大 改,A,コイルとコンデンサーがつくる電気振動を調べる,コイルとコンデンサーがつくる電気振動を調べる｜物理重要問題集 電磁気 問145【高校物理】,68-69,denjiki_問145.png,完成,2026-07-26 14:04,完成
146,電磁気,過渡現象と電気振動,京都工繊大,A,スイッチの切りかえによる過渡現象と電気振動を調べる,スイッチの切りかえによる過渡現象と電気振動を調べる｜物理重要問題集 電磁気 問146【高校物理】,70,denjiki_問146.png,完成,2026-07-26 14:04,完成
147,原子,質量分析器,25 岡山大,A,加速した荷電粒子を磁場で分けて質量を測定する装置を調べる,加速した荷電粒子を磁場で分けて質量を測定する装置を調べる｜物理重要問題集 原子 問147【高校物理】,1-2,genshi_問147.png,完成,2026-07-26 14:04,完成
148,原子,電子の比電荷の測定,24 京都産業大,A,電場と磁場を利用して電子の比電荷を測定する方法を調べる,電場と磁場を利用して電子の比電荷を測定する方法を調べる｜物理重要問題集 原子 問148【高校物理】,3-4,genshi_問148.png,完成,2026-07-26 14:04,完成
149,原子,ミリカンの実験,19 同志社大,A,微粒子の運動から電気素量を測定する実験を調べる,微粒子の運動から電気素量を測定する実験を調べる｜物理重要問題集 原子 問149【高校物理】,5,genshi_問149.png,完成,2026-07-26 14:04,完成
150,原子,光電効果,17 香川大,A,金属に光を当てたときに電子が飛び出す現象を調べる,金属に光を当てたときに電子が飛び出す現象を調べる｜物理重要問題集 原子 問150【高校物理】,6-7,genshi_問150.png,完成,2026-07-26 14:04,完成
151,原子,X線の発生とX線回折,18 近畿大,A,X線の発生スペクトルと結晶によるX線回折を調べる,X線の発生スペクトルと結晶によるX線回折を調べる｜物理重要問題集 原子 問151【高校物理】,8,genshi_問151.png,完成,2026-07-26 14:04,完成
152,原子,コンプトン効果,25 熊本大,A,X線と電子の衝突によるコンプトン効果を調べる,X線と電子の衝突によるコンプトン効果を調べる｜物理重要問題集 原子 問152【高校物理】,9-10,genshi_問152.png,完成,2026-07-26 14:04,完成
153,原子,ブラッグ反射と金属からの光の発生,東北大,B,結晶による反射と金属からの光の発生を調べる,結晶による反射と金属からの光の発生を調べる｜物理重要問題集 原子 問153【高校物理】,11-12,genshi_問153.png,完成,2026-07-26 14:04,完成
154,原子,水素原子モデル,20 九州工大 改,A,ボーアの水素原子モデルからエネルギー準位を導く,ボーアの水素原子モデルからエネルギー準位を導く｜物理重要問題集 原子 問154【高校物理】,13-14,genshi_問154.png,完成,2026-07-26 14:04,完成
155,原子,原子核,19 大阪市大,A,原子核の崩壊と核分裂で生じるエネルギーを調べる,原子核の崩壊と核分裂で生じるエネルギーを調べる｜物理重要問題集 原子 問155【高校物理】,15,genshi_問155.png,完成,2026-07-26 14:04,完成
156,原子,核反応で生じるエネルギー,16 名古屋市大,A,核反応の前後の質量から生じるエネルギーを求める,核反応の前後の質量から生じるエネルギーを求める｜物理重要問題集 原子 問156【高校物理】,16,genshi_問156.png,完成,2026-07-26 14:04,完成
157,原子,中性子による核反応,18 同志社大,A,中性子を利用した核反応とその応用を調べる,中性子を利用した核反応とその応用を調べる｜物理重要問題集 原子 問157【高校物理】,17-18,genshi_問157.png,完成,2026-07-26 14:04,完成
158,原子,中性子の発見,20 大阪工大,B,中性子の発見に至る実験と考察の経緯をたどる,中性子の発見に至る実験と考察の経緯をたどる｜物理重要問題集 原子 問158【高校物理】,19-21,genshi_問158.png,完成,2026-07-26 14:04,完成
159,考察,ハンマー投げの力学モデル,24 名古屋市大 改,−,ハンマー投げを回転する棒のモデルで力学的に考察する,ハンマー投げを回転する棒のモデルで力学的に考察する｜物理重要問題集 考察 問159【高校物理】,1-3,kousatsu_問159.png,完成,2026-07-26 14:04,完成
160,考察,波の屈折と虹のしくみ,16 北海道大,−,波の屈折の原理から虹ができるしくみを考察する,波の屈折の原理から虹ができるしくみを考察する｜物理重要問題集 考察 問160【高校物理】,4-5,kousatsu_問160.png,完成,2026-07-26 14:04,完成
161,考察,気体の分子運動と音の速さ,23 九州大,−,気体分子の運動から音の伝わる速さを導く,気体分子の運動から音の伝わる速さを導く｜物理重要問題集 考察 問161【高校物理】,6-9,kousatsu_問161.png,完成,2026-07-26 14:04,完成
162,考察,回路素子の決定,22 東京理大,−,未知の回路素子が抵抗・コイル・コンデンサーのどれかを測定から決定する,未知の回路素子が抵抗・コイル・コンデンサーのどれかを測定から決定する｜物理重要問題集 考察 問162【高校物理】,10-11,kousatsu_問162.png,完成,2026-07-26 14:04,完成
163,考察,陽電子断層撮影法のしくみ,20 福井大 改,−,陽電子と電子の対消滅を利用した画像化のしくみを考察する,陽電子と電子の対消滅を利用した画像化のしくみを考察する｜物理重要問題集 考察 問163【高校物理】,12-13,kousatsu_問163.png,完成,2026-07-26 14:04,完成
